step,avg_reward,success_rate,avg_length
10000,-140.59038404021413,0.0,928.9
20000,52.42170215845108,0.3,682.0
30000,-4.8263756724074485,0.2,727.55
40000,-8.176105902343988,0.2,603.95
50000,174.36182355172932,0.5,621.9
60000,54.2088797589764,0.3,588.5
70000,-6.8375841796398165,0.2,742.35
80000,-26.080576515570282,0.15,612.75
90000,171.57232784871013,0.5,558.15
100000,240.81194280572237,0.6,494.5
110000,215.57199882809073,0.55,503.45
120000,278.5496357679367,0.65,281.25
130000,211.62504334952683,0.55,458.5
140000,303.6462526973337,0.7,335.5
150000,336.55864605642853,0.75,350.6
160000,336.35780694391576,0.75,316.0
170000,219.9598533971235,0.55,354.25
180000,457.3614638537168,0.95,177.8
190000,399.58164361063393,0.85,198.35
200000,308.5115141538903,0.7,348.3
210000,335.35959531366825,0.75,302.25
220000,219.93429665639997,0.55,467.5
230000,306.45674850028007,0.7,390.6
240000,458.8770038658753,0.95,141.3
250000,463.8291376493871,0.95,124.7
260000,366.2644445205107,0.8,228.55
270000,399.59978531133385,0.85,207.15
280000,400.5218414140865,0.85,188.05
290000,401.76558615043757,0.85,189.5
300000,370.0457226796076,0.8,276.8
310000,461.43632640931753,0.95,170.7
320000,401.1661588739604,0.85,151.2
330000,429.0801697820425,0.9,170.55
340000,309.38845751285555,0.7,329.8
350000,368.78238189294933,0.8,238.75
360000,460.10465059559795,0.95,145.2
370000,247.55105414316057,0.6,393.1
380000,401.46365954242646,0.85,150.2
390000,395.8890288880095,0.85,246.9
400000,431.33178999722,0.9,206.15
410000,428.44815424662085,0.9,167.85
420000,432.8417445352301,0.9,93.4
430000,430.8937941368669,0.9,147.45
440000,461.0211536454037,0.95,151.0
450000,371.0764329498634,0.8,131.75
460000,399.3053993595764,0.85,153.45
470000,368.51924123670904,0.8,263.2
480000,371.38801944889127,0.8,239.2
490000,460.86742663700136,0.95,154.2
500000,370.89819211885333,0.8,194.9
510000,462.46841627545655,0.95,160.35
520000,457.2986395929009,0.95,175.25
530000,433.50468337070197,0.9,172.15
540000,400.64350944235923,0.85,202.4
550000,401.436138257198,0.85,184.3
560000,306.6324784068391,0.7,285.05
570000,431.4860911535099,0.9,192.85
580000,370.63665997870265,0.8,232.25
590000,399.6180179940537,0.85,166.25
600000,462.11202277150005,0.95,146.5
610000,402.37281061131506,0.85,234.2
620000,461.60180450510234,0.95,153.6
630000,369.62648633718493,0.8,242.45
640000,462.195635208115,0.95,145.75
650000,428.76465173009785,0.9,185.05
660000,427.7045709984377,0.9,203.45
670000,429.76354196239265,0.9,147.1
680000,430.2046268969774,0.9,198.1
690000,342.06846440751104,0.75,276.3
700000,431.7495073823258,0.9,106.95
710000,399.41813788395376,0.85,188.25
720000,432.0503138205037,0.9,163.25
730000,431.74022885449233,0.9,210.45
740000,364.8573144618422,0.8,284.75
750000,461.6431804509833,0.95,157.7
760000,431.4821023628116,0.9,147.3
770000,399.4931659787893,0.85,149.35
780000,399.87960202842953,0.85,194.25
790000,461.57733025103806,0.95,151.45
800000,461.15451031867417,0.95,123.2
810000,401.5161829823628,0.85,165.4
820000,400.92420032694935,0.85,155.5
830000,397.9046230375767,0.85,192.5
840000,429.896102344431,0.9,210.45
850000,430.25929745156316,0.9,155.25
860000,278.1739603228867,0.65,322.35
870000,431.4733879731968,0.9,197.3
880000,396.22814413513987,0.85,161.0
890000,428.82232063263655,0.9,129.8
900000,397.68363401386887,0.85,195.9
910000,337.71162137724457,0.75,324.9
920000,430.3855325462297,0.9,156.6
930000,401.22381837815044,0.85,199.85
940000,493.6920087352395,1.0,98.05
950000,400.5691131072119,0.85,208.15
960000,372.2386277122423,0.8,279.6
970000,371.2476731183007,0.8,291.15
980000,430.042151773721,0.9,204.15
990000,431.77563842143866,0.9,140.65
1000000,459.8714603289962,0.95,130.9
